timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length,ttl,tcp_flags,window_size
2026-01-15 09:34:55.718597,192.168.248.51,192.168.167.242,22,80,ICMP,462,34,18,11475
2026-01-15 09:34:55.726740,192.168.206.222,192.168.98.106,22,6290,ICMP,860,57,0,26340
2026-01-15 09:34:55.893514,192.168.58.162,192.168.37.236,443,8080,ICMP,879,37,0,5964
2026-01-15 09:34:55.980475,192.168.116.150,192.168.209.90,8080,3389,UDP,1046,38,0,39602
2026-01-15 09:34:55.791650,192.168.246.207,192.168.221.251,443,22,UDP,690,62,2,6753
2026-01-15 09:34:55.898028,192.168.161.190,192.168.113.215,22,31307,ICMP,601,52,16,50246
2026-01-15 09:34:56.274799,192.168.188.85,192.168.21.38,443,80,UDP,660,39,18,54434
2026-01-15 09:34:56.116843,192.168.116.236,192.168.178.84,8080,80,TCP,496,33,0,18683
2026-01-15 09:34:56.376795,192.168.19.61,192.168.179.134,27387,8080,UDP,55,54,16,31857
2026-01-15 09:34:55.961803,192.168.246.217,192.168.31.185,22,8080,TCP,1286,41,2,46241
2026-01-15 09:34:56.613925,192.168.186.249,192.168.135.117,2879,8080,UDP,1150,40,2,32866
2026-01-15 09:34:56.622536,192.168.222.12,192.168.227.173,80,61379,UDP,1149,54,2,19156
2026-01-15 09:34:55.934385,192.168.56.27,192.168.49.76,80,62811,UDP,589,52,2,44413
2026-01-15 09:34:55.868301,192.168.237.38,192.168.179.253,443,80,TCP,484,56,18,59828
2026-01-15 09:34:56.267170,192.168.74.244,192.168.195.151,8080,443,TCP,109,61,1,13056
2026-01-15 09:34:56.766556,192.168.66.191,192.168.152.245,80,8080,ICMP,679,54,1,59989
2026-01-15 09:34:56.448341,192.168.136.183,192.168.68.216,80,3389,ICMP,1196,32,1,37669
2026-01-15 09:34:56.899740,192.168.36.210,192.168.206.212,8080,80,ICMP,517,35,18,11647
2026-01-15 09:34:56.738713,192.168.171.63,192.168.128.144,443,23727,TCP,477,58,18,62228
2026-01-15 09:34:56.843002,192.168.32.205,192.168.54.59,8080,443,TCP,489,45,0,30057
2026-01-15 09:34:56.069978,192.168.238.32,192.168.225.142,45419,443,ICMP,1081,47,2,59911
2026-01-15 09:34:55.773556,192.168.155.47,192.168.254.215,8080,80,TCP,48,42,16,4722
2026-01-15 09:34:57.677682,192.168.15.91,192.168.73.195,80,443,UDP,758,45,2,16624
2026-01-15 09:34:55.864089,192.168.94.84,192.168.66.47,80,22,TCP,108,57,18,49006
2026-01-15 09:34:58.013687,192.168.111.155,192.168.253.82,6110,22,UDP,1272,50,0,2597
2026-01-15 09:34:56.026585,192.168.172.194,192.168.228.59,36788,443,TCP,58,45,2,58593
2026-01-15 09:34:56.767710,192.168.168.127,192.168.122.37,8080,80,UDP,42,53,0,34894
2026-01-15 09:34:56.134210,192.168.207.124,192.168.212.240,3389,80,TCP,717,60,0,26114
2026-01-15 09:34:58.266055,192.168.126.55,192.168.177.41,3389,22,ICMP,945,64,16,2267
2026-01-15 09:34:56.675650,192.168.113.192,192.168.21.220,443,3389,ICMP,1208,61,1,20929
2026-01-15 09:34:58.035449,192.168.203.55,192.168.177.242,443,3389,TCP,635,41,2,4584
2026-01-15 09:34:56.597717,192.168.89.131,192.168.52.21,31531,80,TCP,644,39,18,44907
2026-01-15 09:34:58.156228,192.168.240.214,192.168.248.141,80,5567,TCP,973,42,2,30276
2026-01-15 09:34:58.866844,192.168.121.156,192.168.209.179,80,80,ICMP,356,50,18,50378
2026-01-15 09:34:57.915193,192.168.135.196,192.168.69.2,443,8457,ICMP,147,59,0,2795
2026-01-15 09:34:59.000917,192.168.37.31,192.168.55.74,80,3389,TCP,840,38,16,15601
2026-01-15 09:34:57.536687,192.168.214.114,192.168.170.107,3389,22,UDP,385,45,16,10063
2026-01-15 09:34:58.775820,192.168.116.72,192.168.194.224,22,3389,ICMP,1334,44,16,24738
2026-01-15 09:34:56.610289,192.168.92.123,192.168.97.53,22,3389,TCP,1356,49,16,52484
2026-01-15 09:34:56.530366,192.168.15.81,192.168.29.51,22,8080,UDP,793,30,0,1394
2026-01-15 09:34:58.029130,192.168.228.250,192.168.171.28,443,443,TCP,848,59,18,30834
2026-01-15 09:34:56.031452,192.168.159.179,192.168.217.63,26735,80,TCP,556,61,2,37722
2026-01-15 09:34:58.088192,192.168.244.111,192.168.67.124,8080,22,TCP,1045,64,0,22667
2026-01-15 09:34:58.186485,192.168.110.137,192.168.23.101,23589,3389,TCP,394,30,1,18132
2026-01-15 09:34:57.281535,192.168.243.106,192.168.142.150,80,30507,ICMP,717,40,2,6731
2026-01-15 09:34:59.887011,192.168.219.225,192.168.76.163,80,22,UDP,954,40,18,55225
2026-01-15 09:34:58.882451,192.168.150.127,192.168.118.61,22,8080,ICMP,918,59,1,41962
2026-01-15 09:34:55.799243,192.168.43.121,192.168.179.161,8080,80,UDP,529,49,18,60663
2026-01-15 09:34:57.110993,192.168.208.47,192.168.14.131,3389,443,ICMP,1326,62,1,52215
2026-01-15 09:34:58.947961,192.168.230.168,192.168.217.177,22,8080,UDP,179,35,0,62347
2026-01-15 09:34:59.997200,192.168.39.56,192.168.116.2,80,443,UDP,1272,51,16,9020
2026-01-15 09:34:57.705538,192.168.139.72,192.168.217.209,443,443,ICMP,288,53,0,13031
2026-01-15 09:34:55.776144,192.168.51.30,192.168.13.222,11369,22,UDP,1263,60,2,43895
2026-01-15 09:34:59.089867,192.168.57.90,192.168.226.233,80,8080,ICMP,1363,60,1,2593
2026-01-15 09:35:00.281314,192.168.59.187,192.168.154.153,8080,3389,UDP,551,57,1,58222
2026-01-15 09:34:58.944918,192.168.199.233,192.168.2.140,443,3389,TCP,1153,51,1,54532
2026-01-15 09:35:00.157959,192.168.201.125,192.168.203.71,8080,80,TCP,1490,35,0,34065
2026-01-15 09:34:57.049480,192.168.159.159,192.168.119.148,443,80,ICMP,244,62,16,5429
